line_no	text	annotation
1	بسم الله الرحمن الرحيم	Opening basmala invoking God.
2	المنة علينا لواهب العقل	Brief praise to God as a giver of intellect.
3	هذه رسالة في آداب البحث يحتاج إليها كل متعلم لتكون محافظة له في البحث	The treatise is introduced as a practical guide for every learner.
4	من الضلالة وتسهل عليه طريق الفهم والتفهيم وهي إن كان متداولة بين	Its purpose is to guard against error and ease understanding and explanation.
5	المحققين لكنها منظومة في ما كانت منظومة في سلك ومجموعة في عقد	Although known among scholars, the material is here reorganized into orderly form.
6	أردت نظم منثورها وجمع مأثورها وهي مرتبة على ثلاثة فصول في التعريفات	The author states his aim: to arrange scattered material into three chapters.
7	في ترتيب البحث في مسائل التي اخترعتها الفصل الأول: في التعريفات المناظرة	Chapter one begins with definitions; the first defined term is debate.
8	هي النظر بالبصيرة من الجانبين في النسبة بين الشيئين إظهاراً للصواب أو	Debate is defined as bilateral intellectual consideration of a relation to show correctness.
9	الدليل هو الذي يلزم من العلم به العلم بشيء آخر وهو المدلول والأمارة هي التي يلزم	Dalil is defined as that from knowing which another thing is known; the other thing is the madlul.
10	من العلم بها الظن بوجود المدلول وما يتوقف عليه وجود الشيء إن كان	Amara yields probable judgment, unlike the stronger force of dalil.
11	داخلاً فيه يسمى ركناً وإن كان خارجاً عنه فإن كان مؤثراً في وجوده يسمى	A distinction is made between internal constituent, external cause, and condition.
12	علة واحدة إلا فشرطاً والعلة التامة هي جملة ما يتوقف عليه وجود الشيء	The complete cause is the totality of what existence depends on.
13	والتعليل هي تبيين علة الشيء والملازمة هي كون الحكم مقتضياً للآخر والأول هي	Ta'lil is explanation of cause; mulazama is entailment between two judgments.
14	الملزوم والثاني هو اللازم والدوران هو ترتب الشيء على الشيء الذي له صلوح	The two sides of entailment are named malzum and lazim.
15	العلية إما وجوداً أو عدماً أو معاً الأول هو الدائر والثاني هو المدار والمناقضة	Dawaran is concomitance with something apt for causality, in presence, absence, or both.
16	هي منع مقدمة الدليل والمعارضة هي إقامة الدليل على خلاف ما أقام الدليل	Munaqada is denial of a premise; mu'arada is proving the opposite.
17	عليه الخصم والنقض هو تخلف الحكم المدعى عن الدليل والمستند ما يكون المنع	Naqd is failure of the claimed ruling to follow from the proof.
