manuscript_folder,manuscript_title,term_ar,term_en,count
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,البحث,inquiry/research,22
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,المناظرة,debate,9
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,النظر,consideration/inquiry,27
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,المنع,objection,45
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,المعارضة,counter-proof/opposition,20
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,المناقضة,contradiction,14
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,النقض,refutation/counterexample,17
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,الدليل,proof,48
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,السائل,questioner,31
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,المعلل,expositor/proponent,20
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,التعريف,definition,12
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,الحدود,definitions (ḥudūd),2
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,الغصب,procedural usurpation,9
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,السند,ground/support of objection,18
Hasiyetül_Kevâkibî_alâ_risâletil_bahs_Tasköprizâde,Al-Kawakibi Gloss on Taskoprizade,الدوران,concomitance,2
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,الدليل,proof,8
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,المعلل,proponent/expositor,7
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,المناظرة,debate,5
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,السائل,questioner,4
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,المناقضة,contradiction,3
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,المعارضة,counter-proof/opposition,3
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,السند,ground/support of objection,2
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,مكابرة,obstinate denial,2
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,النقض,refutation/counterexample,1
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,الإفحام,silencing of the proponent,1
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,الاستفسار,request for clarification,1
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,غصب,procedural usurpation,1
Risâle fî 'ilm-i âdâbi’l-bahŝ ve’l-münâzara Tasköprizâde,Taskoprizade Treatise on Debate,المجيب,respondent,1
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,الدليل,proof,16
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,الحوادث,accidents/events,13
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المعلل,proponent/expositor,12
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المعارضة,counter-proof/opposition,8
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,النقض,refutation/counterexample,7
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المنع,objection,6
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,واجب,necessary,6
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,البحث,inquiry/research,5
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,السائل,questioner,5
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المناقضة,contradiction,4
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المؤثر,efficient cause,4
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المستند,ground/support of objection,3
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,الممكن,possible/contingent,3
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,المناظرة,debate,2
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,النظر,consideration/inquiry,2
Risālat fī al-Ādāb al-Baḥth Al-Samarqandi,Al-Samarqandi Treatise on Adab al-Bahth,الوجود,existence,2
